parent,name,scientific,rank,image_url
,Lebewesen,,Lebewesen,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7d/Eukaryota_diversity_2.jpg/100px-Eukaryota_diversity_2.jpg
Lebewesen,Eukaryoten,Eukaryota,Domäne,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7d/Eukaryota_diversity_2.jpg/100px-Eukaryota_diversity_2.jpg
Eukaryoten,Tiere,Animalia,Reich,https://upload.wikimedia.org/wikipedia/commons/thumb/1/14/Animal_diversity.png/100px-Animal_diversity.png
Tiere,Stachelhäuter,Echinodermata,Stamm,https://upload.wikimedia.org/wikipedia/commons/thumb/d/df/Echinodermata.png/120px-Echinodermata.png
Stachelhäuter,Seelilien und Haarsterne,Crinoidea,Klasse,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3e/Crinoid_in_West_Rota_caldera_%28expl0043_5114735036%29.jpg/120px-Crinoid_in_West_Rota_caldera_%28expl0043_5114735036%29.jpg
Seelilien und Haarsterne,Haarsterne,Comatulida,Ordnung,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6d/Comanthia_schlegeli_%28Feather_star%29.jpg/120px-Comanthia_schlegeli_%28Feather_star%29.jpg
Haarsterne,Mittelmeer-Haarstern,Antedon mediterranea,Art,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ea/Antedon_mediterranea.jpg/120px-Antedon_mediterranea.jpg
Haarsterne,Comaster,Comaster,Gattung,not_found
Comaster,Schlegels Haarstern,Comaster schlegelii,Art,https://upload.wikimedia.org/wikipedia/commons/thumb/3/39/Comanthina_schlegeli_Variable_Bushy_Feather_Star.jpg/120px-Comanthina_schlegeli_Variable_Bushy_Feather_Star.jpg
Comaster,Edel-Haarstern,Comaster nobilis,Art,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2d/Comanthina_nobilis_%28Feather_star%29_on_Callyspongia_sp._%28Elephant_ear_sponge%29.jpg/120px-Comanthina_nobilis_%28Feather_star%29_on_Callyspongia_sp._%28Elephant_ear_sponge%29.jpg
Stachelhäuter,Seesterne,Asteroidea,Klasse,https://upload.wikimedia.org/wikipedia/commons/thumb/9/97/Astropecten_aranciacus_in_Tenerife.jpg/120px-Astropecten_aranciacus_in_Tenerife.jpg
Seesterne,Zangensterne,Forcipulatida,Ordnung,https://upload.wikimedia.org/wikipedia/commons/thumb/9/92/Starfish%2C_Oregon_coast.jpg/120px-Starfish%2C_Oregon_coast.jpg
Zangensterne,Asteriidae,Asteriidae,Familie,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bb/Asterias_rubens.jpg/120px-Asterias_rubens.jpg
Asteriidae,Gemeiner Seestern,Asterias rubens,Art,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bb/Asterias_rubens.jpg/120px-Asterias_rubens.jpg
